customer_unique_id,CLTV,Customer_Health_Index,Dynamic_Risk_Score,Customer_Persona,Next_Best_Action,Customer_Influence_Score,Strategic_Value_Score,Retention_Priority_Score,Lifecycle_Stage,Churn_Probability,Customer_Rank,Customer_Tier
0025795df7a7d077c4c90162fa820085,0.0,75.55,24.45,Regular Customer,Regular Marketing,37.78,52.89,24.45,Loyal Stage,0.0,6595.5,Silver
0027324a96d26a2bc7d69262f83c8403,37.9,29.34,70.66,Inactive Customer,Win-Back Campaign,14.81,20.62,70.66,Churn Risk Stage,1.0,25272.5,Bronze
0028a7d8db7b0247652509358ad8d755,548.0,24.83,75.17,VIP Customer,VIP Loyalty Benefits,14.45,18.6,75.17,Churn Risk Stage,1.0,34458.5,Bronze
0028cfeb9dfcd3628a56d5b6400deef5,95.9,25.45,74.55,Inactive Customer,Win-Back Campaign,13.08,18.03,74.55,Churn Risk Stage,1.0,37078.0,Bronze
00293787e2aec37a9c253b63fdfe2049,237.8,21.93,78.07,VIP Customer,VIP Loyalty Benefits,11.85,15.88,78.07,Churn Risk Stage,1.0,46406.5,Bronze
0029bd580d3012618731f5abb174a07f,39.9,21.95,78.05,Inactive Customer,Win-Back Campaign,11.12,15.45,78.05,Churn Risk Stage,1.0,47719.0,Bronze
002aba8c1af80acacef6e011f9f23262,0.0,27.94,72.06,Inactive Customer,Win-Back Campaign,13.97,19.56,72.06,Churn Risk Stage,1.0,30190.5,Bronze
002ae492472e45ad6ebeb7a625409392,103.98,20.8,79.2,Inactive Customer,Win-Back Campaign,10.79,14.79,79.2,Churn Risk Stage,1.0,49535.0,Bronze
002b4cd83fabaffaa475f78ea5ef3e08,49.9,7.79,92.21,At Risk Customer,Urgent Retention Campaign,4.08,5.56,92.21,Churn Risk Stage,1.0,68473.0,Bronze
002bdeb33da5b1b3ce8b9c822f749c82,23.99,23.68,76.32,Inactive Customer,Win-Back Campaign,11.93,16.63,76.32,Churn Risk Stage,1.0,42477.0,Bronze
002cdf87d4c03f08f7eb4551a923affc,196.99,22.13,77.87,VIP Customer,VIP Loyalty Benefits,11.8,15.93,77.87,Churn Risk Stage,1.0,46255.5,Bronze
002d71b244beb91ca7030b15ab526446,115.0,13.63,86.37,At Risk Customer,Urgent Retention Campaign,7.24,9.8,86.37,Churn Risk Stage,1.0,61847.0,Bronze
002da6dde369f6a8b4c999ed61eb5a87,44.99,30.29,69.71,Inactive Customer,Win-Back Campaign,15.31,21.3,69.71,Declining Stage,1.0,22433.5,Bronze
002eb8b96288f3804e21d2777ac29895,0.0,16.56,83.44,At Risk Customer,Urgent Retention Campaign,8.28,11.59,83.44,Churn Risk Stage,1.0,57895.5,Bronze
002ed12115742033f015cb3c269ccf68,97.9,26.64,73.36,Inactive Customer,Win-Back Campaign,13.68,18.86,73.36,Churn Risk Stage,1.0,33323.0,Bronze
002feefec5af0a3b26ee7839c66d205e,59.9,21.77,78.23,Inactive Customer,Win-Back Campaign,11.11,15.37,78.23,Churn Risk Stage,1.0,47920.0,Bronze
003035f5ec76f2220098377482de93c9,49.99,18.6,81.4,At Risk Customer,Urgent Retention Campaign,9.49,13.13,81.4,Churn Risk Stage,1.0,53986.5,Bronze
003162bf0351f47a1a247992b8b9b42d,514.9,35.8,64.2,VIP Customer,VIP Loyalty Benefits,19.82,26.21,64.2,Declining Stage,1.0,7047.0,Bronze
00324c9f4d710e7bac5c5ba679714430,59.8,15.1,84.9,At Risk Customer,Urgent Retention Campaign,7.77,10.7,84.9,Churn Risk Stage,1.0,59882.5,Bronze
0032c76b20340da25249092a268ce66c,128.9,1.8,98.2,At Risk Customer,Urgent Retention Campaign,1.38,1.55,98.2,Churn Risk Stage,1.0,68971.5,Bronze
0032ca69771a7758ce643258bb9e4ac7,45.0,35.2,64.8,Inactive Customer,Win-Back Campaign,17.77,24.74,64.8,Declining Stage,1.0,8268.0,Bronze
0033f4a2887e07e25aa1204d482f41ba,350.0,34.62,65.38,VIP Customer,VIP Loyalty Benefits,18.61,25.01,65.38,Declining Stage,1.0,7679.5,Bronze
00344274804f3b8003de1b0562ae01df,188.0,35.05,64.95,VIP Customer,VIP Loyalty Benefits,18.22,24.95,64.95,Declining Stage,1.0,7787.5,Bronze
0034c76b7e6a17d738375b99afc2f01e,26.0,31.55,68.45,Inactive Customer,Win-Back Campaign,15.87,22.14,68.45,Declining Stage,1.0,18643.0,Bronze
0036a074f98b80c4f1fc33dbbcf9c552,16.99,12.91,87.09,At Risk Customer,Urgent Retention Campaign,6.52,9.08,87.09,Churn Risk Stage,1.0,63379.5,Bronze
0036b4a3d09ad551a5188c2e374da402,148.0,17.71,82.29,VIP Customer,VIP Loyalty Benefits,9.41,12.73,82.29,Churn Risk Stage,1.0,55008.0,Bronze
0036d365b138cc0ee06bed755bcb5044,79.9,26.66,73.34,Inactive Customer,Win-Back Campaign,13.63,18.84,73.34,Churn Risk Stage,1.0,33423.0,Bronze
00377a18050b898b93e2c774be9947db,49.99,23.15,76.85,Inactive Customer,Win-Back Campaign,11.76,16.32,76.85,Churn Risk Stage,1.0,44359.5,Bronze
0037aa56b017c105c3a9d47af71fff98,425.0,26.92,73.08,VIP Customer,VIP Loyalty Benefits,15.04,19.79,73.08,Churn Risk Stage,1.0,29095.0,Bronze
0037d2bbb9ebc39d9114aea27ee16d72,119.9,10.68,89.32,At Risk Customer,Urgent Retention Campaign,5.79,7.75,89.32,Churn Risk Stage,1.0,65539.5,Bronze
0037eb1ff742ee2e71ba887f65f3c6f3,0.0,16.09,83.91,At Risk Customer,Urgent Retention Campaign,8.04,11.26,83.91,Churn Risk Stage,1.0,58692.5,Bronze
003800162424b7b5b3d75c9cf22a66e7,0.0,29.7,70.3,Inactive Customer,Win-Back Campaign,14.85,20.79,70.3,Churn Risk Stage,1.0,24567.0,Bronze
00391594070baf8603f5fdc1d0c6a48c,105.0,76.38,23.62,Regular Customer,Regular Marketing,38.58,53.7,23.62,Loyal Stage,0.0,3293.5,Silver
003a5571a07dcf09bf117d13d2980ba3,149.9,75.82,24.18,VIP Customer,VIP Loyalty Benefits,38.47,53.41,24.18,Loyal Stage,0.0,4714.0,Silver
003a7a8eb096ed3cbf713d2def1ca701,99.99,76.78,23.22,Regular Customer,Regular Marketing,38.76,53.97,23.22,Loyal Stage,0.0,1906.0,Silver
003ac9408252444b489b1bfc013f5f8c,18.75,28.9,71.1,Inactive Customer,Win-Back Campaign,14.52,20.27,71.1,Churn Risk Stage,1.0,26922.0,Bronze
003ae409f37c3c30cb1c974af3a42692,195.0,76.98,23.02,VIP Customer,VIP Loyalty Benefits,39.22,54.32,23.02,Loyal Stage,0.0,719.5,Silver
003c457932a554e4df13834237b1ed00,129.9,25.39,74.61,Inactive Customer,Win-Back Campaign,13.18,18.06,74.61,Churn Risk Stage,1.0,36925.5,Bronze
003d56767e53e08671de00da3fba8d40,157.0,23.62,76.38,VIP Customer,VIP Loyalty Benefits,12.39,16.88,76.38,Churn Risk Stage,1.0,41308.0,Bronze
003e2af81ea3c72fbdd093f07724a4de,0.0,30.48,69.52,Inactive Customer,Win-Back Campaign,15.24,21.34,69.52,Declining Stage,1.0,22247.5,Bronze
003f4901fdb60ae9c1e2538b84c208e1,148.0,23.04,76.96,VIP Customer,VIP Loyalty Benefits,12.07,16.46,76.96,Churn Risk Stage,1.0,43481.0,Bronze
003fb95e849e71e732629d94bb92762f,57.99,75.95,24.05,Regular Customer,Regular Marketing,38.19,53.29,24.05,Loyal Stage,0.0,5274.0,Silver
003fee4ca17927283128c7ddc6f9311b,85.0,31.69,68.31,Inactive Customer,Win-Back Campaign,16.16,22.37,68.31,Declining Stage,1.0,17470.5,Bronze
004177f7bf62929186b32c7fdaa6157b,393.98,21.75,78.25,VIP Customer,VIP Loyalty Benefits,12.34,16.1,78.25,Churn Risk Stage,1.0,45650.5,Bronze
004288347e5e88a27ded2bb23747066c,317.89,26.14,73.86,VIP Customer,VIP Loyalty Benefits,14.25,19.01,73.86,Churn Risk Stage,1.0,32714.0,Bronze
0042dcca0ae57aaec6e808edc31a2d48,69.8,23.54,76.46,Inactive Customer,Win-Back Campaign,12.03,16.63,76.46,Churn Risk Stage,1.0,42477.0,Bronze
0042dfa8925d6eb23e471ec350454f04,49.9,75.73,24.27,Regular Customer,Regular Marketing,38.05,53.12,24.27,Loyal Stage,0.0,5968.0,Silver
0043d65f8039b4a4d43bc7b0f450ac2c,49.9,11.82,88.18,At Risk Customer,Urgent Retention Campaign,6.1,8.39,88.18,Churn Risk Stage,1.0,64602.5,Bronze
00444f48f6c9b55657e49435ce3a97ca,39.9,14.39,85.61,At Risk Customer,Urgent Retention Campaign,7.34,10.16,85.61,Churn Risk Stage,1.0,61013.5,Bronze
00446a03d7a34d191507c9e42870d0a5,109.9,9.63,90.37,At Risk Customer,Urgent Retention Campaign,5.22,6.98,90.37,Churn Risk Stage,1.0,66747.0,Bronze
004493e0b0a37317d25665d340c0677d,64.99,33.21,66.79,Inactive Customer,Win-Back Campaign,16.85,23.39,66.79,Declining Stage,1.0,13379.5,Bronze
0045e9ad4d6c85d2323a7ab374b76183,5.9,33.8,66.2,Inactive Customer,Win-Back Campaign,16.92,23.67,66.2,Declining Stage,1.0,12266.0,Bronze
0047f3e16441284d757a8963344f6c59,60.0,18.56,81.44,At Risk Customer,Urgent Retention Campaign,9.5,13.12,81.44,Churn Risk Stage,1.0,54010.0,Bronze
0048706e497cfba0b689e1e3497bc99e,69.5,76.79,23.21,Regular Customer,Regular Marketing,38.65,53.91,23.21,Loyal Stage,0.0,2199.0,Silver
0048a779a98a7848514096ff04046079,21.7,76.36,23.64,Regular Customer,Regular Marketing,38.26,53.5,23.64,Loyal Stage,0.0,4258.0,Silver
0049dadc30da6a277c1e9d371df5a66f,0.0,14.59,85.41,At Risk Customer,Urgent Retention Campaign,7.3,10.22,85.41,Churn Risk Stage,1.0,60867.5,Bronze
0049db44bfd6cee26ac9c649329ff6ea,80.0,9.59,90.41,At Risk Customer,Urgent Retention Campaign,5.09,6.89,90.41,Churn Risk Stage,1.0,66866.5,Bronze
0049ec2d7a5818d0e4b3f4735cec2458,25.9,35.33,64.67,Inactive Customer,Win-Back Campaign,17.76,24.79,64.67,Declining Stage,1.0,8150.0,Bronze
004a432489f6630c6dfd3fc4454603f5,0.0,24.16,75.84,Inactive Customer,Win-Back Campaign,12.08,16.91,75.84,Churn Risk Stage,1.0,41172.5,Bronze
004ad212c650c96c8a48f30855a7bcb8,0.0,19.87,80.13,At Risk Customer,Urgent Retention Campaign,9.94,13.91,80.13,Churn Risk Stage,1.0,51970.0,Bronze
004b45ec5c64187465168251cd1c9c2f,86.9,32.68,67.32,Inactive Customer,Win-Back Campaign,16.66,23.07,67.32,Declining Stage,1.0,14461.5,Bronze
004b9b1634b7becda8eec4e96bced882,134.99,76.37,23.63,Regular Customer,Regular Marketing,38.69,53.76,23.63,Loyal Stage,0.0,3006.0,Silver
004d17fa2cb102a7c4817f040c884e59,32.0,27.27,72.73,Inactive Customer,Win-Back Campaign,13.75,19.16,72.73,Churn Risk Stage,1.0,32020.0,Bronze
004df63539fd5e38d4b0a0506de7549c,949.99,36.55,63.45,VIP Customer,VIP Loyalty Benefits,21.81,27.71,63.45,Declining Stage,1.0,6933.0,Bronze
004ed862ea4e55f18868d3d782d10879,94.9,17.53,82.47,At Risk Customer,Urgent Retention Campaign,9.12,12.48,82.47,Churn Risk Stage,1.0,55703.5,Bronze
00504b68faa074d0f40adcb4f7727f71,152.0,76.76,23.24,VIP Customer,VIP Loyalty Benefits,38.95,54.07,23.24,Loyal Stage,0.0,1479.5,Silver
00522457bba00bba576a34fd9b4808fd,103.97,10.92,89.08,At Risk Customer,Urgent Retention Campaign,5.85,7.88,89.08,Churn Risk Stage,1.0,65335.0,Bronze
005226be8d5b972d0f72b4e8a79f322b,1561.0,32.03,67.97,VIP Customer,VIP Loyalty Benefits,21.82,25.9,67.97,Declining Stage,1.0,7113.5,Bronze
00539155ce68fbe677934aebdb17e09b,48.99,31.17,68.83,Inactive Customer,Win-Back Campaign,15.77,21.93,68.83,Declining Stage,1.0,19596.5,Bronze
0055b522bc89cbfbf376d8b59a628470,328.0,9.75,90.25,VIP Customer,VIP Loyalty Benefits,6.1,7.56,90.25,Churn Risk Stage,1.0,65823.0,Bronze
0055bbb9c95f6acb8db89d1f6c316407,68.0,27.37,72.63,Inactive Customer,Win-Back Campaign,13.94,19.31,72.63,Churn Risk Stage,1.0,31365.5,Bronze
0056c2dd794a5eede6164dcae635875a,129.99,76.57,23.43,Regular Customer,Regular Marketing,38.77,53.89,23.43,Loyal Stage,0.0,2314.5,Silver
0056f26cb8f20916c3baa0e39fc30709,92.9,29.74,70.26,Inactive Customer,Win-Back Campaign,15.22,21.03,70.26,Churn Risk Stage,1.0,23572.5,Bronze
0058f300f57d7b93c477a131a59b36c3,205.06,29.49,70.51,VIP Customer,VIP Loyalty Benefits,15.51,21.1,70.51,Churn Risk Stage,1.0,23270.5,Bronze
0059acd36094bf670ec8b21be6c0044c,0.0,14.54,85.46,At Risk Customer,Urgent Retention Campaign,7.27,10.18,85.46,Churn Risk Stage,1.0,60969.5,Bronze
005d8faa4cf789cf52fb880a8569880a,79.99,31.84,68.16,Inactive Customer,Win-Back Campaign,16.22,22.47,68.16,Declining Stage,1.0,16878.5,Bronze
005e32bc930906dc6b65fb9d11cce3e2,32.0,18.88,81.12,At Risk Customer,Urgent Retention Campaign,9.56,13.29,81.12,Churn Risk Stage,1.0,53578.5,Bronze
005f060d4223956c62b64e9567a36f0f,689.0,33.37,66.63,VIP Customer,VIP Loyalty Benefits,19.25,24.9,66.63,Declining Stage,1.0,7894.5,Bronze
005f4b46e70bbd3295a38e2fd28d6566,49.8,21.96,78.04,Inactive Customer,Win-Back Campaign,11.17,15.49,78.04,Churn Risk Stage,1.0,47617.5,Bronze
006031108b00e5f73b2426a50b50f9c0,189.9,19.07,80.93,VIP Customer,VIP Loyalty Benefits,10.24,13.77,80.93,Churn Risk Stage,1.0,52340.5,Bronze
00605a8897ed9ad73b5c93bebad2541a,12.9,29.36,70.64,Inactive Customer,Win-Back Campaign,14.73,20.58,70.64,Churn Risk Stage,1.0,25494.0,Bronze
00626f29f9b57d3ef7c1739ff03e944e,0.0,30.17,69.83,Inactive Customer,Win-Back Campaign,15.08,21.12,69.83,Declining Stage,1.0,23191.5,Bronze
0063817060d662048ed08bccecaf45d5,0.0,25.56,74.44,Inactive Customer,Win-Back Campaign,12.78,17.89,74.44,Churn Risk Stage,1.0,37665.0,Bronze
0064a1b5f5cddd047c987b988a90c8c1,0.0,28.1,71.9,Inactive Customer,Win-Back Campaign,14.05,19.67,71.9,Churn Risk Stage,1.0,29674.5,Bronze
0064c96f536ac6250275482221834154,52.66,33.92,66.08,Inactive Customer,Win-Back Campaign,17.16,23.86,66.08,Declining Stage,1.0,11533.5,Bronze
00651d97d964127ccfc0e2e55464876d,15.0,27.91,72.09,Inactive Customer,Win-Back Campaign,14.01,19.57,72.09,Churn Risk Stage,1.0,30136.0,Bronze
0065f6fb341f013a95a8e11cdc98d07a,89.9,20.78,79.22,Inactive Customer,Win-Back Campaign,10.72,14.74,79.22,Churn Risk Stage,1.0,49687.5,Bronze
0065f7795a38381973a373c8b4939679,15.99,34.94,65.06,Inactive Customer,Win-Back Campaign,17.53,24.49,65.06,Declining Stage,0.995,9125.0,Bronze
0066b328e72fd82fd7420bf849c0e8b4,84.94,18.96,81.04,At Risk Customer,Urgent Retention Campaign,9.8,13.46,81.04,Churn Risk Stage,1.0,53165.0,Bronze
0067d2652c12515146721538868bbd80,0.0,33.74,66.26,Inactive Customer,Win-Back Campaign,16.87,23.62,66.26,Declining Stage,1.0,12468.0,Bronze
0068bd2e9e76c018846dbc6e2bec5ac5,59.9,34.19,65.81,Inactive Customer,Win-Back Campaign,17.32,24.07,65.81,Declining Stage,1.0,10669.5,Bronze
006a8c1784d622ebe06bab57e72ee045,49.0,23.15,76.85,Inactive Customer,Win-Back Campaign,11.76,16.32,76.85,Churn Risk Stage,1.0,44359.5,Bronze
006ab6f5e82340e927757563a9fbe7e4,267.2,23.84,76.16,VIP Customer,VIP Loyalty Benefits,12.91,17.28,76.16,Churn Risk Stage,1.0,39720.0,Bronze
006bbb235068a01d2e3e47fa09ccf53c,19.9,27.4,72.6,Inactive Customer,Win-Back Campaign,13.77,19.22,72.6,Churn Risk Stage,1.0,31760.5,Bronze
006c10bfead12ac8d90486fb4ce4e603,67.99,33.63,66.37,Inactive Customer,Win-Back Campaign,17.07,23.69,66.37,Declining Stage,1.0,12174.5,Bronze
006d763076d74d16d66e828e79ec1544,79.9,17.4,82.6,At Risk Customer,Urgent Retention Campaign,9.0,12.36,82.6,Churn Risk Stage,1.0,55970.5,Bronze
006ec5b170182812131c7d9b219c036f,44.98,21.07,78.93,Inactive Customer,Win-Back Campaign,10.7,14.85,78.93,Churn Risk Stage,1.0,49373.5,Bronze
006f2f20cf0cd723624b99d0e8e40d0c,29.99,27.16,72.84,Inactive Customer,Win-Back Campaign,13.69,19.08,72.84,Churn Risk Stage,1.0,32404.0,Bronze
00704e915ae0d4a236eace0267454cf9,108.9,17.24,82.76,At Risk Customer,Urgent Retention Campaign,9.03,12.31,82.76,Churn Risk Stage,1.0,56105.5,Bronze
0071f46a072a9ae25bbe4438b15efe9c,0.0,7.71,92.29,At Risk Customer,Urgent Retention Campaign,3.86,5.4,92.29,Churn Risk Stage,1.0,68613.5,Bronze
00728bae3dec9c16b2193ab7e3195eb7,194.9,26.01,73.99,VIP Customer,VIP Loyalty Benefits,13.73,18.64,73.99,Churn Risk Stage,1.0,34292.5,Bronze
00737247e3dc1942da2c527ef3bd2709,59.9,29.33,70.67,Inactive Customer,Win-Back Campaign,14.89,20.67,70.67,Churn Risk Stage,1.0,25068.5,Bronze
0074a1d3f1995ff0538dc7197500973c,599.0,32.56,67.44,VIP Customer,VIP Loyalty Benefits,18.51,24.13,67.44,Declining Stage,1.0,10418.0,Bronze
00762eafc5dac5fc1574f91e9b7c9b67,219.0,27.29,72.71,VIP Customer,VIP Loyalty Benefits,14.46,19.59,72.71,Churn Risk Stage,1.0,30066.0,Bronze
0076a71311bb2386a353f5ba87d2aa29,0.0,16.92,83.08,At Risk Customer,Urgent Retention Campaign,8.46,11.84,83.08,Churn Risk Stage,1.0,57287.0,Bronze
00776f3807b128beca64cd0b27138d92,294.99,20.21,79.79,VIP Customer,VIP Loyalty Benefits,11.2,14.8,79.79,Churn Risk Stage,1.0,49516.5,Bronze
0078108af1d2dc4b1601c744ca581b4f,0.0,31.51,68.49,Inactive Customer,Win-Back Campaign,15.76,22.06,68.49,Declining Stage,1.0,19056.5,Bronze
007953b3182d5ccc9189a694f5c68163,99.99,11.69,88.31,At Risk Customer,Urgent Retention Campaign,6.22,8.41,88.31,Churn Risk Stage,1.0,64554.5,Bronze
0079b50e9f77c1148b472818f92eaebc,24.9,23.22,76.78,Inactive Customer,Win-Back Campaign,11.7,16.31,76.78,Churn Risk Stage,1.0,44422.0,Bronze
007ba48697b079e78f168b051462dd1b,129.0,33.31,66.69,Inactive Customer,Win-Back Campaign,17.13,23.6,66.69,Declining Stage,1.0,12551.0,Bronze
007e21b7a007c8f8dadfa43c9d5a91db,54.4,28.64,71.36,Inactive Customer,Win-Back Campaign,14.52,20.17,71.36,Churn Risk Stage,1.0,27351.0,Bronze
0083e758383b3deb6c6dac1b0b431ac0,30.5,25.3,74.7,Inactive Customer,Win-Back Campaign,12.76,17.78,74.7,Churn Risk Stage,1.0,38127.5,Bronze
0085139b503668b3addcfe826d91be8d,465.88,27.19,72.81,VIP Customer,VIP Loyalty Benefits,15.33,20.07,72.81,Churn Risk Stage,1.0,27810.5,Bronze
0085d749fc64f766ece1729464f8039a,330.0,29.62,70.38,VIP Customer,VIP Loyalty Benefits,16.04,21.47,70.38,Churn Risk Stage,1.0,21663.5,Bronze
008778a1591d49f6b2464dffaa4fa662,249.99,16.83,83.17,VIP Customer,VIP Loyalty Benefits,9.35,12.34,83.17,Churn Risk Stage,1.0,56024.0,Bronze
0087c31081ea8d160baa06bf4ad4d76f,160.0,34.18,65.82,VIP Customer,VIP Loyalty Benefits,17.69,24.29,65.82,Declining Stage,1.0,9814.5,Bronze
008b06aba4b5f5b5b94f525ccf520624,67.98,77.15,22.85,Regular Customer,Regular Marketing,38.83,54.16,22.85,Loyal Stage,0.0,1116.0,Silver
008b82b072c6b564fcce49a325f84097,29.9,28.61,71.39,Inactive Customer,Win-Back Campaign,14.42,20.1,71.39,Churn Risk Stage,1.0,27668.5,Bronze
008ca52811784a181c8c88e8d66b49db,0.0,76.74,23.26,Regular Customer,Regular Marketing,38.37,53.72,23.26,Loyal Stage,0.0,3184.0,Silver
008d17333e414049279c7822dfd5f019,0.0,18.22,81.78,At Risk Customer,Urgent Retention Campaign,9.11,12.75,81.78,Churn Risk Stage,1.0,54950.0,Bronze
008ea5bdd1a99fb584cce7739349da75,45.0,30.39,69.61,Inactive Customer,Win-Back Campaign,15.36,21.37,69.61,Declining Stage,1.0,22096.5,Bronze
