customer_unique_id,CLTV,Customer_Health_Index,Dynamic_Risk_Score,Customer_Persona,Next_Best_Action,Customer_Influence_Score,Strategic_Value_Score,Retention_Priority_Score,Lifecycle_Stage,Recommended_Campaign,Retention_Campaign
0010a452c6d13139e50b57f19f52e04e,299.0,16.43,83.57,VIP Customer,VIP Loyalty Benefits,9.33,12.17,83.57,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0010fb34b966d44409382af9e8fd5b77,49.95,28.33,71.67,Inactive Customer,Win-Back Campaign,14.35,19.94,71.67,Churn Risk Stage,Win Back Campaign,Special Discount Offer
001147e649a7b1afd577e873841632dd,170.0,18.88,81.12,VIP Customer,VIP Loyalty Benefits,10.07,13.59,81.12,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00115fc7123b5310cf6d3a3aa932699e,59.99,7.28,92.72,At Risk Customer,Urgent Retention Campaign,3.86,5.23,92.72,Churn Risk Stage,Retention Campaign,Special Discount Offer
0011805441c0d1b68b48002f1d005526,0.0,11.95,88.05,At Risk Customer,Urgent Retention Campaign,5.98,8.37,88.05,Churn Risk Stage,Retention Campaign,Special Discount Offer
0011857aff0e5871ce5eb429f21cdaf5,174.33,15.58,84.42,VIP Customer,VIP Loyalty Benefits,8.44,11.3,84.42,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0014a5a58da615f7b01a4f5e194bf5ea,88.0,26.05,73.95,Inactive Customer,Win-Back Campaign,13.35,18.43,73.95,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00191a9719ef48ebb5860b130347bf33,47.9,11.77,88.23,At Risk Customer,Urgent Retention Campaign,6.06,8.34,88.23,Churn Risk Stage,Retention Campaign,Special Discount Offer
001926cef41060fae572e2e7b30bd2a4,48.79,17.98,82.02,At Risk Customer,Urgent Retention Campaign,9.17,12.69,82.02,Churn Risk Stage,Retention Campaign,Special Discount Offer
00196fdb2bf9edfc35e88ebfbcf8d781,12.9,27.76,72.24,Inactive Customer,Win-Back Campaign,13.93,19.46,72.24,Churn Risk Stage,Win Back Campaign,Special Discount Offer
001a2bf0e46c684031af91fb2bce149d,24.88,15.46,84.54,At Risk Customer,Urgent Retention Campaign,7.82,10.88,84.54,Churn Risk Stage,Retention Campaign,Special Discount Offer
001ae5a1788703d64536c30362503e49,89.99,23.89,76.11,Inactive Customer,Win-Back Campaign,12.28,16.92,76.11,Churn Risk Stage,Win Back Campaign,Special Discount Offer
002043098f10ba39a4600b6c52fbfe3c,176.99,10.72,89.28,VIP Customer,VIP Loyalty Benefits,6.02,7.9,89.28,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0023557a94bef0038066b5d1b3dc763e,0.0,29.5,70.5,Inactive Customer,Win-Back Campaign,14.75,20.65,70.5,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0027324a96d26a2bc7d69262f83c8403,37.9,29.34,70.66,Inactive Customer,Win-Back Campaign,14.81,20.62,70.66,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0028a7d8db7b0247652509358ad8d755,548.0,24.83,75.17,VIP Customer,VIP Loyalty Benefits,14.45,18.6,75.17,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0028cfeb9dfcd3628a56d5b6400deef5,95.9,25.45,74.55,Inactive Customer,Win-Back Campaign,13.08,18.03,74.55,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00293787e2aec37a9c253b63fdfe2049,237.8,21.93,78.07,VIP Customer,VIP Loyalty Benefits,11.85,15.88,78.07,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0029bd580d3012618731f5abb174a07f,39.9,21.95,78.05,Inactive Customer,Win-Back Campaign,11.12,15.45,78.05,Churn Risk Stage,Win Back Campaign,Special Discount Offer
002aba8c1af80acacef6e011f9f23262,0.0,27.94,72.06,Inactive Customer,Win-Back Campaign,13.97,19.56,72.06,Churn Risk Stage,Win Back Campaign,Special Discount Offer
002ae492472e45ad6ebeb7a625409392,103.98,20.8,79.2,Inactive Customer,Win-Back Campaign,10.79,14.79,79.2,Churn Risk Stage,Win Back Campaign,Special Discount Offer
002b4cd83fabaffaa475f78ea5ef3e08,49.9,7.79,92.21,At Risk Customer,Urgent Retention Campaign,4.08,5.56,92.21,Churn Risk Stage,Retention Campaign,Special Discount Offer
002bdeb33da5b1b3ce8b9c822f749c82,23.99,23.68,76.32,Inactive Customer,Win-Back Campaign,11.93,16.63,76.32,Churn Risk Stage,Win Back Campaign,Special Discount Offer
002cdf87d4c03f08f7eb4551a923affc,196.99,22.13,77.87,VIP Customer,VIP Loyalty Benefits,11.8,15.93,77.87,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
002d71b244beb91ca7030b15ab526446,115.0,13.63,86.37,At Risk Customer,Urgent Retention Campaign,7.24,9.8,86.37,Churn Risk Stage,Retention Campaign,Special Discount Offer
002eb8b96288f3804e21d2777ac29895,0.0,16.56,83.44,At Risk Customer,Urgent Retention Campaign,8.28,11.59,83.44,Churn Risk Stage,Retention Campaign,Special Discount Offer
002ed12115742033f015cb3c269ccf68,97.9,26.64,73.36,Inactive Customer,Win-Back Campaign,13.68,18.86,73.36,Churn Risk Stage,Win Back Campaign,Special Discount Offer
002feefec5af0a3b26ee7839c66d205e,59.9,21.77,78.23,Inactive Customer,Win-Back Campaign,11.11,15.37,78.23,Churn Risk Stage,Win Back Campaign,Special Discount Offer
003035f5ec76f2220098377482de93c9,49.99,18.6,81.4,At Risk Customer,Urgent Retention Campaign,9.49,13.13,81.4,Churn Risk Stage,Retention Campaign,Special Discount Offer
00324c9f4d710e7bac5c5ba679714430,59.8,15.1,84.9,At Risk Customer,Urgent Retention Campaign,7.77,10.7,84.9,Churn Risk Stage,Retention Campaign,Special Discount Offer
0032c76b20340da25249092a268ce66c,128.9,1.8,98.2,At Risk Customer,Urgent Retention Campaign,1.38,1.55,98.2,Churn Risk Stage,Retention Campaign,Special Discount Offer
0036a074f98b80c4f1fc33dbbcf9c552,16.99,12.91,87.09,At Risk Customer,Urgent Retention Campaign,6.52,9.08,87.09,Churn Risk Stage,Retention Campaign,Special Discount Offer
0036b4a3d09ad551a5188c2e374da402,148.0,17.71,82.29,VIP Customer,VIP Loyalty Benefits,9.41,12.73,82.29,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0036d365b138cc0ee06bed755bcb5044,79.9,26.66,73.34,Inactive Customer,Win-Back Campaign,13.63,18.84,73.34,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00377a18050b898b93e2c774be9947db,49.99,23.15,76.85,Inactive Customer,Win-Back Campaign,11.76,16.32,76.85,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0037aa56b017c105c3a9d47af71fff98,425.0,26.92,73.08,VIP Customer,VIP Loyalty Benefits,15.04,19.79,73.08,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0037d2bbb9ebc39d9114aea27ee16d72,119.9,10.68,89.32,At Risk Customer,Urgent Retention Campaign,5.79,7.75,89.32,Churn Risk Stage,Retention Campaign,Special Discount Offer
0037eb1ff742ee2e71ba887f65f3c6f3,0.0,16.09,83.91,At Risk Customer,Urgent Retention Campaign,8.04,11.26,83.91,Churn Risk Stage,Retention Campaign,Special Discount Offer
003800162424b7b5b3d75c9cf22a66e7,0.0,29.7,70.3,Inactive Customer,Win-Back Campaign,14.85,20.79,70.3,Churn Risk Stage,Win Back Campaign,Special Discount Offer
003ac9408252444b489b1bfc013f5f8c,18.75,28.9,71.1,Inactive Customer,Win-Back Campaign,14.52,20.27,71.1,Churn Risk Stage,Win Back Campaign,Special Discount Offer
003c457932a554e4df13834237b1ed00,129.9,25.39,74.61,Inactive Customer,Win-Back Campaign,13.18,18.06,74.61,Churn Risk Stage,Win Back Campaign,Special Discount Offer
003d56767e53e08671de00da3fba8d40,157.0,23.62,76.38,VIP Customer,VIP Loyalty Benefits,12.39,16.88,76.38,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
003f4901fdb60ae9c1e2538b84c208e1,148.0,23.04,76.96,VIP Customer,VIP Loyalty Benefits,12.07,16.46,76.96,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
004177f7bf62929186b32c7fdaa6157b,393.98,21.75,78.25,VIP Customer,VIP Loyalty Benefits,12.34,16.1,78.25,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
004288347e5e88a27ded2bb23747066c,317.89,26.14,73.86,VIP Customer,VIP Loyalty Benefits,14.25,19.01,73.86,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0042dcca0ae57aaec6e808edc31a2d48,69.8,23.54,76.46,Inactive Customer,Win-Back Campaign,12.03,16.63,76.46,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0043d65f8039b4a4d43bc7b0f450ac2c,49.9,11.82,88.18,At Risk Customer,Urgent Retention Campaign,6.1,8.39,88.18,Churn Risk Stage,Retention Campaign,Special Discount Offer
00444f48f6c9b55657e49435ce3a97ca,39.9,14.39,85.61,At Risk Customer,Urgent Retention Campaign,7.34,10.16,85.61,Churn Risk Stage,Retention Campaign,Special Discount Offer
00446a03d7a34d191507c9e42870d0a5,109.9,9.63,90.37,At Risk Customer,Urgent Retention Campaign,5.22,6.98,90.37,Churn Risk Stage,Retention Campaign,Special Discount Offer
0047f3e16441284d757a8963344f6c59,60.0,18.56,81.44,At Risk Customer,Urgent Retention Campaign,9.5,13.12,81.44,Churn Risk Stage,Retention Campaign,Special Discount Offer
0049dadc30da6a277c1e9d371df5a66f,0.0,14.59,85.41,At Risk Customer,Urgent Retention Campaign,7.3,10.22,85.41,Churn Risk Stage,Retention Campaign,Special Discount Offer
0049db44bfd6cee26ac9c649329ff6ea,80.0,9.59,90.41,At Risk Customer,Urgent Retention Campaign,5.09,6.89,90.41,Churn Risk Stage,Retention Campaign,Special Discount Offer
004a432489f6630c6dfd3fc4454603f5,0.0,24.16,75.84,Inactive Customer,Win-Back Campaign,12.08,16.91,75.84,Churn Risk Stage,Win Back Campaign,Special Discount Offer
004ad212c650c96c8a48f30855a7bcb8,0.0,19.87,80.13,At Risk Customer,Urgent Retention Campaign,9.94,13.91,80.13,Churn Risk Stage,Retention Campaign,Special Discount Offer
004d17fa2cb102a7c4817f040c884e59,32.0,27.27,72.73,Inactive Customer,Win-Back Campaign,13.75,19.16,72.73,Churn Risk Stage,Win Back Campaign,Special Discount Offer
004ed862ea4e55f18868d3d782d10879,94.9,17.53,82.47,At Risk Customer,Urgent Retention Campaign,9.12,12.48,82.47,Churn Risk Stage,Retention Campaign,Special Discount Offer
00522457bba00bba576a34fd9b4808fd,103.97,10.92,89.08,At Risk Customer,Urgent Retention Campaign,5.85,7.88,89.08,Churn Risk Stage,Retention Campaign,Special Discount Offer
0055b522bc89cbfbf376d8b59a628470,328.0,9.75,90.25,VIP Customer,VIP Loyalty Benefits,6.1,7.56,90.25,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0055bbb9c95f6acb8db89d1f6c316407,68.0,27.37,72.63,Inactive Customer,Win-Back Campaign,13.94,19.31,72.63,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0056f26cb8f20916c3baa0e39fc30709,92.9,29.74,70.26,Inactive Customer,Win-Back Campaign,15.22,21.03,70.26,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0058f300f57d7b93c477a131a59b36c3,205.06,29.49,70.51,VIP Customer,VIP Loyalty Benefits,15.51,21.1,70.51,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0059acd36094bf670ec8b21be6c0044c,0.0,14.54,85.46,At Risk Customer,Urgent Retention Campaign,7.27,10.18,85.46,Churn Risk Stage,Retention Campaign,Special Discount Offer
005e32bc930906dc6b65fb9d11cce3e2,32.0,18.88,81.12,At Risk Customer,Urgent Retention Campaign,9.56,13.29,81.12,Churn Risk Stage,Retention Campaign,Special Discount Offer
005f4b46e70bbd3295a38e2fd28d6566,49.8,21.96,78.04,Inactive Customer,Win-Back Campaign,11.17,15.49,78.04,Churn Risk Stage,Win Back Campaign,Special Discount Offer
006031108b00e5f73b2426a50b50f9c0,189.9,19.07,80.93,VIP Customer,VIP Loyalty Benefits,10.24,13.77,80.93,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00605a8897ed9ad73b5c93bebad2541a,12.9,29.36,70.64,Inactive Customer,Win-Back Campaign,14.73,20.58,70.64,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0063817060d662048ed08bccecaf45d5,0.0,25.56,74.44,Inactive Customer,Win-Back Campaign,12.78,17.89,74.44,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0064a1b5f5cddd047c987b988a90c8c1,0.0,28.1,71.9,Inactive Customer,Win-Back Campaign,14.05,19.67,71.9,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00651d97d964127ccfc0e2e55464876d,15.0,27.91,72.09,Inactive Customer,Win-Back Campaign,14.01,19.57,72.09,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0065f6fb341f013a95a8e11cdc98d07a,89.9,20.78,79.22,Inactive Customer,Win-Back Campaign,10.72,14.74,79.22,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0066b328e72fd82fd7420bf849c0e8b4,84.94,18.96,81.04,At Risk Customer,Urgent Retention Campaign,9.8,13.46,81.04,Churn Risk Stage,Retention Campaign,Special Discount Offer
006a8c1784d622ebe06bab57e72ee045,49.0,23.15,76.85,Inactive Customer,Win-Back Campaign,11.76,16.32,76.85,Churn Risk Stage,Win Back Campaign,Special Discount Offer
006ab6f5e82340e927757563a9fbe7e4,267.2,23.84,76.16,VIP Customer,VIP Loyalty Benefits,12.91,17.28,76.16,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
006bbb235068a01d2e3e47fa09ccf53c,19.9,27.4,72.6,Inactive Customer,Win-Back Campaign,13.77,19.22,72.6,Churn Risk Stage,Win Back Campaign,Special Discount Offer
006d763076d74d16d66e828e79ec1544,79.9,17.4,82.6,At Risk Customer,Urgent Retention Campaign,9.0,12.36,82.6,Churn Risk Stage,Retention Campaign,Special Discount Offer
006ec5b170182812131c7d9b219c036f,44.98,21.07,78.93,Inactive Customer,Win-Back Campaign,10.7,14.85,78.93,Churn Risk Stage,Win Back Campaign,Special Discount Offer
006f2f20cf0cd723624b99d0e8e40d0c,29.99,27.16,72.84,Inactive Customer,Win-Back Campaign,13.69,19.08,72.84,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00704e915ae0d4a236eace0267454cf9,108.9,17.24,82.76,At Risk Customer,Urgent Retention Campaign,9.03,12.31,82.76,Churn Risk Stage,Retention Campaign,Special Discount Offer
0071f46a072a9ae25bbe4438b15efe9c,0.0,7.71,92.29,At Risk Customer,Urgent Retention Campaign,3.86,5.4,92.29,Churn Risk Stage,Retention Campaign,Special Discount Offer
00728bae3dec9c16b2193ab7e3195eb7,194.9,26.01,73.99,VIP Customer,VIP Loyalty Benefits,13.73,18.64,73.99,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00737247e3dc1942da2c527ef3bd2709,59.9,29.33,70.67,Inactive Customer,Win-Back Campaign,14.89,20.67,70.67,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00762eafc5dac5fc1574f91e9b7c9b67,219.0,27.29,72.71,VIP Customer,VIP Loyalty Benefits,14.46,19.59,72.71,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0076a71311bb2386a353f5ba87d2aa29,0.0,16.92,83.08,At Risk Customer,Urgent Retention Campaign,8.46,11.84,83.08,Churn Risk Stage,Retention Campaign,Special Discount Offer
00776f3807b128beca64cd0b27138d92,294.99,20.21,79.79,VIP Customer,VIP Loyalty Benefits,11.2,14.8,79.79,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
007953b3182d5ccc9189a694f5c68163,99.99,11.69,88.31,At Risk Customer,Urgent Retention Campaign,6.22,8.41,88.31,Churn Risk Stage,Retention Campaign,Special Discount Offer
0079b50e9f77c1148b472818f92eaebc,24.9,23.22,76.78,Inactive Customer,Win-Back Campaign,11.7,16.31,76.78,Churn Risk Stage,Win Back Campaign,Special Discount Offer
007e21b7a007c8f8dadfa43c9d5a91db,54.4,28.64,71.36,Inactive Customer,Win-Back Campaign,14.52,20.17,71.36,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0083e758383b3deb6c6dac1b0b431ac0,30.5,25.3,74.7,Inactive Customer,Win-Back Campaign,12.76,17.78,74.7,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0085139b503668b3addcfe826d91be8d,465.88,27.19,72.81,VIP Customer,VIP Loyalty Benefits,15.33,20.07,72.81,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0085d749fc64f766ece1729464f8039a,330.0,29.62,70.38,VIP Customer,VIP Loyalty Benefits,16.04,21.47,70.38,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
008778a1591d49f6b2464dffaa4fa662,249.99,16.83,83.17,VIP Customer,VIP Loyalty Benefits,9.35,12.34,83.17,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
008b82b072c6b564fcce49a325f84097,29.9,28.61,71.39,Inactive Customer,Win-Back Campaign,14.42,20.1,71.39,Churn Risk Stage,Win Back Campaign,Special Discount Offer
008d17333e414049279c7822dfd5f019,0.0,18.22,81.78,At Risk Customer,Urgent Retention Campaign,9.11,12.75,81.78,Churn Risk Stage,Retention Campaign,Special Discount Offer
008f3d5f45a11059239a5c452cd00006,309.9,7.86,92.14,VIP Customer,VIP Loyalty Benefits,5.08,6.19,92.14,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
008fb2ecc75561d202dd4db2e0ceec25,32.99,13.97,86.03,At Risk Customer,Urgent Retention Campaign,7.11,9.85,86.03,Churn Risk Stage,Retention Campaign,Special Discount Offer
009000746b4fc73fe77ecc396fdb78d2,120.9,23.46,76.54,Inactive Customer,Win-Back Campaign,12.18,16.69,76.54,Churn Risk Stage,Win Back Campaign,Special Discount Offer
009062f98089a091615b5c9faa13de26,16.17,19.32,80.68,At Risk Customer,Urgent Retention Campaign,9.72,13.56,80.68,Churn Risk Stage,Retention Campaign,Special Discount Offer
009210a1646725341917560a13f7799f,10.75,17.14,82.86,At Risk Customer,Urgent Retention Campaign,8.61,12.02,82.86,Churn Risk Stage,Retention Campaign,Special Discount Offer
009231b0ef6a6b4f5a5fe46938827b83,89.9,26.94,73.06,Inactive Customer,Win-Back Campaign,13.8,19.06,73.06,Churn Risk Stage,Win Back Campaign,Special Discount Offer
009301957bc7714394865c44650d8060,84.99,15.19,84.81,At Risk Customer,Urgent Retention Campaign,7.91,10.82,84.81,Churn Risk Stage,Retention Campaign,Special Discount Offer
0093aeb87eca387dd153f965aa10c060,0.0,22.92,77.08,Inactive Customer,Win-Back Campaign,11.46,16.04,77.08,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0093c499f4f9c0e169ead490aa62ce3e,210.0,14.85,85.15,VIP Customer,VIP Loyalty Benefits,8.21,10.87,85.15,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0093dbe7f479386a92095026decf825d,30.21,23.28,76.72,Inactive Customer,Win-Back Campaign,11.75,16.36,76.72,Churn Risk Stage,Win Back Campaign,Special Discount Offer
009671b5dc80cdf32aeb5850868ba81c,62.99,15.05,84.95,At Risk Customer,Urgent Retention Campaign,7.76,10.68,84.95,Churn Risk Stage,Retention Campaign,Special Discount Offer
0096c18412349537abc45e350581cbbc,0.0,9.88,90.12,At Risk Customer,Urgent Retention Campaign,4.94,6.92,90.12,Churn Risk Stage,Retention Campaign,Special Discount Offer
0096c9cb600a08e601f7c2be6734531a,169.0,17.12,82.88,VIP Customer,VIP Loyalty Benefits,9.19,12.36,82.88,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0096f8cd903cc205efab77d5ae6bb6f1,134.9,27.42,72.58,Inactive Customer,Win-Back Campaign,14.21,19.49,72.58,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0097c1e3f3c2fed7a7d8cf30be1a33df,0.0,23.18,76.82,Inactive Customer,Win-Back Campaign,11.59,16.23,76.82,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00986cafefb6e670cceca01694bda599,99.98,25.14,74.86,Inactive Customer,Win-Back Campaign,12.94,17.82,74.86,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0098f4847541cc7d676f9a5efc64c0f0,0.0,11.64,88.36,At Risk Customer,Urgent Retention Campaign,5.82,8.15,88.36,Churn Risk Stage,Retention Campaign,Special Discount Offer
009b0127b727ab0ba422f6d9604487c7,0.0,0.41,99.59,At Risk Customer,Urgent Retention Campaign,0.2,0.28,99.59,Churn Risk Stage,Retention Campaign,Special Discount Offer
009e70fcdd4ea3769c73210414e73c64,32.9,14.9,85.1,At Risk Customer,Urgent Retention Campaign,7.57,10.5,85.1,Churn Risk Stage,Retention Campaign,Special Discount Offer
00a1c6913daeda0b7f9b79f802805fdb,84.99,24.86,75.14,Inactive Customer,Win-Back Campaign,12.75,17.59,75.14,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00a1e8f160b36ccdcbca310933f12a3b,28.7,23.33,76.67,Inactive Customer,Win-Back Campaign,11.77,16.39,76.67,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00a218ea82c458456098caa1c4a7e796,49.9,9.23,90.77,At Risk Customer,Urgent Retention Campaign,4.8,6.57,90.77,Churn Risk Stage,Retention Campaign,Special Discount Offer
00a3a868d6047bac2888d27b16743ba0,89.7,27.2,72.8,Inactive Customer,Win-Back Campaign,13.93,19.24,72.8,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00a78b45ea275348c1a8081bef9ab61b,169.9,25.14,74.86,VIP Customer,VIP Loyalty Benefits,13.2,17.98,74.86,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00ab80210f1875276065f3c1911a2110,25.5,29.79,70.21,Inactive Customer,Win-Back Campaign,14.99,20.91,70.21,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00ab8b4d83051d5a41842abe7ff473fc,134.9,23.64,76.36,Inactive Customer,Win-Back Campaign,12.32,16.85,76.36,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00ac9cd5c4ad19e16e7c6f6864711737,209.9,12.47,87.53,VIP Customer,VIP Loyalty Benefits,7.02,9.2,87.53,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00af5c2c9fd47849143be82aea5ab2cf,94.98,25.55,74.45,Inactive Customer,Win-Back Campaign,13.13,18.1,74.45,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00b0d21952ae29dfe79db614512a27c2,399.93,24.35,75.65,VIP Customer,VIP Loyalty Benefits,13.66,17.94,75.65,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00b1d2492b4127598629f19a22a32be8,129.9,23.17,76.83,Inactive Customer,Win-Back Campaign,12.07,16.51,76.83,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00b21d737fc7f475c145ca292832385d,159.99,28.03,71.97,VIP Customer,VIP Loyalty Benefits,14.61,19.98,71.97,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00b309d0151d92709de70e43d662711b,179.8,21.02,78.98,VIP Customer,VIP Loyalty Benefits,11.18,15.12,78.98,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00b8076004092a29c2c934570c356fc7,199.9,29.38,70.62,VIP Customer,VIP Loyalty Benefits,15.43,21.01,70.62,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00ba737b18a7996f68cb8a99556bedd4,112.8,16.21,83.79,At Risk Customer,Urgent Retention Campaign,8.52,11.6,83.79,Churn Risk Stage,Retention Campaign,Special Discount Offer
00bbfe2f540d0cfccbb098d92c503eca,59.9,21.82,78.18,Inactive Customer,Win-Back Campaign,11.13,15.41,78.18,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00bcc55fd3eb23fc001365c5f0c3c3ba,0.0,26.86,73.14,Inactive Customer,Win-Back Campaign,13.43,18.8,73.14,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00bd169997f142571c113645554663d6,83.0,23.0,77.0,Inactive Customer,Win-Back Campaign,11.81,16.29,77.0,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00bee19e1199bc5cede1c674177b9e22,649.9,23.68,76.32,VIP Customer,VIP Loyalty Benefits,14.26,18.03,76.32,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00bfe974afd63b30ed282dc69892fb98,99.8,24.94,75.06,Inactive Customer,Win-Back Campaign,12.84,17.68,75.06,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00c003ed13c76042b78d53fbc26930d0,179.99,10.26,89.74,VIP Customer,VIP Loyalty Benefits,5.8,7.58,89.74,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
00c0bbc49a530c07c110d269211da046,0.0,23.34,76.66,Inactive Customer,Win-Back Campaign,11.67,16.34,76.66,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00c26c3dd77bb25a0423a2280886b86a,19.9,28.28,71.72,Inactive Customer,Win-Back Campaign,14.21,19.84,71.72,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00c31de6420048cb3f668c99153debf7,64.9,21.93,78.07,Inactive Customer,Win-Back Campaign,11.21,15.5,78.07,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00c4592dfbfe06775ab582d7a2b8dddf,55.9,23.22,76.78,Inactive Customer,Win-Back Campaign,11.82,16.38,76.78,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00c4d93157cffc73cb2459f52b89cee4,64.99,21.31,78.69,Inactive Customer,Win-Back Campaign,10.9,15.06,78.69,Churn Risk Stage,Win Back Campaign,Special Discount Offer
